depository_accession,depository_source,species
E-MEXP-1353,AE,
E-MTAB-5103,AE,Arabidopsis thaliana
E-MTAB-4477,AE,
E-MTAB-4640,AE,
E-GEOD-5623,AE,
E-GEOD-5625,AE,
E-MEXP-394,AE,
E-MTAB-5004,AE,
E-MTAB-5005,AE,
E-MEXP-1352,AE,
E-MTAB-6205,AE,
E-MEXP-98,AE,Arabidopsis thaliana
E-NASC-24,AE,
E-MTAB-5641,AE,Arabidopsis thaliana
E-MEXP-2870,AE,
E-MEXP-2873,AE,
E-MTAB-4505,AE,
E-MTAB-4506,AE,
E-TIGR-2,AE,
E-DORD-69,AE,
E-MTAB-4531,AE,
E-MTAB-4292,AE,Arabidopsis thaliana
E-MEXP-3030,AE,
GSE43546,GEO,
GSE37408,GEO,Arabidopsis thaliana
GSE9459,GEO,
GSE5723,GEO,
GSE180380,GEO,
GSE225062,GEO,
GSE189707,GEO,
GSE186546,GEO,
GSE208223,GEO,
GSE152813,GEO,
GSE139595,GEO,
GSE186324,GEO,
GSE135607,GEO,
GSE182929,GEO,
GSE167524,GEO,
GSE180839,GEO,
GSE160866,GEO,
GSE152166,GEO,
GSE157435,GEO,
GSE132564,GEO,
GSE129016,GEO,
GSE128946,GEO,
GSE127819,GEO,
GSE60555,GEO,
GSE107260,GEO,
GSE112389,GEO,
GSE86848,GEO,
GSE90965,GEO,
GSE98880,GEO,
GSE101488,GEO,
GSE84087,GEO,
GSE39037,GEO,
GSE84570,GEO,
GSE46365,GEO,
GSE80567,GEO,
GSE80566,GEO,
GSE80565,GEO,
GSE80564,GEO,
GSE87329,GEO,
GSE75933,GEO,
GSE63186,GEO,
GSE63185,GEO,
GSE81136,GEO,
GSE57157,GEO,
GSE69510,GEO,
GSE70491,GEO,
GSE62602,GEO,
GSE68440,GEO,
GSE68439,GEO,
GSE34984,GEO,
GSE59556,GEO,
GSE62888,GEO,
GSE49325,GEO,
GSE57174,GEO,
GSE55431,GEO,
GSE56706,GEO,
GSE55799,GEO,
GSE44922,GEO,
GSE44622,GEO,
GSE43724,GEO,
GSE40998,GEO,
GSE51215,GEO,
GSE48810,GEO,
GSE46760,GEO,
GSE46759,GEO,
GSE46758,GEO,
GSE46661,GEO,
GSE45830,GEO,
GSE42408,GEO,
GSE24766,GEO,
GSE24741,GEO,
GSE11658,GEO,
GSE16865,GEO,
GSE10349,GEO,
GSE12029,GEO,
GSE10323,GEO,
GSE7334,GEO,
GSE8936,GEO,
GSE7982,GEO,
GSE5710,GEO,
GSE5521,GEO,
GSE196667,GEO,
GSE186325,GEO,
GSE152462,GEO,
GSE152459,GEO,
GSE132978,GEO,
GSE57013,GEO,
GSE51218,GEO,
GSE21685,GEO,
GSE19740,GEO,
GSE9515,GEO,
GSE152455,GEO,
GSE152454,GEO,
GSE72168,GEO,
GSE81477,GEO,
GSE86605,GEO,
GSE62167,GEO,
GSE44676,GEO,
GSE51767,GEO,
GSE15680,GEO,
GSE192431,GEO,
GSE223171,GEO,
GSE223169,GEO,
GSE223168,GEO,
GSE223167,GEO,
GSE212801,GEO,
GSE184984,GEO,
GSE184983,GEO,
GSE184982,GEO,
GSE188732,GEO,
GSE178678,GEO,
GSE176315,GEO,
GSE190748,GEO,
GSE162875,GEO,
GSE162507,GEO,
GSE157128,GEO,
GSE173660,GEO,
GSE156426,GEO,
GSE156425,GEO,
GSE167245,GEO,
GSE145795,GEO,
GSE148745,GEO,
GSE149526,GEO,
GSE149389,GEO,
GSE140508,GEO,
GSE127986,GEO,
GSE116232,GEO,
GSE133564,GEO,
GSE104860,GEO,
GSE122804,GEO,
GSE112443,GEO,
GSE127759,GEO,
GSE95388,GEO,
GSE115051,GEO,
GSE85655,GEO,
GSE90027,GEO,
GSE90026,GEO,
GSE102898,GEO,
GSE73097,GEO,
GSE44620,GEO,
GSE81634,GEO,
GSE79453,GEO,
GSE74376,GEO,
GSE81496,GEO,
GSE53688,GEO,
GSE53687,GEO,
GSE69222,GEO,
GSE64355,GEO,
GSE64354,GEO,
GSE58621,GEO,
GSE56658,GEO,
GSE52468,GEO,
GSE40735,GEO,
GSE37159,GEO,
GSE35315,GEO,
GSE31977,GEO,
GSE31888,GEO,
GSE26199,GEO,
GSE13165,GEO,
GSE13304,GEO,
GSE9597,GEO,
GSE4203,GEO,
GSE5735,GEO,
GSE1355,GEO,
GSE1332,GEO,
GSE1331,GEO,
GSE1330,GEO,
GSE1329,GEO,
GSE207365,GEO,
GSE168119,GEO,
GSE168118,GEO,
GSE110302,GEO,
GSE51898,GEO,
GSE11535,GEO,
GSE5712,GEO,
GSE197771,GEO,
GSE6597,GEO,
GSE207367,GEO,
GSE205210,GEO,
GSE97641,GEO,
E-MTAB-10374,AE,
E-MTAB-2806,AE,
E-CAGE-54,AE,
E-MEXP-819,AE,
E-MEXP-2965,AE,
E-MEXP-1155,AE,
E-MEXP-3171,AE,
E-MTAB-2807,AE,
E-CAGE-52,AE,
E-MTAB-4073,AE,
E-MTAB-6549,AE,
E-MTAB-6550,AE,
E-MEXP-1495,AE,
E-MTAB-11843,AE,
E-GEOD-18001,AE,
E-MEXP-2732,AE,
E-MEXP-3928,AE,
E-MEXP-3685,AE,
E-MEXP-397,AE,
E-MEXP-601,AE,
E-MEXP-2295,AE,
E-MEXP-1351,AE,
E-GEOD-5626,AE,
E-GEOD-5627,AE,
E-MTAB-2503,AE,
E-MEXP-317,AE,
E-MEXP-225,AE,
E-GEOD-80462,AE,
E-MEXP-4000,AE,
E-MTAB-8648,AE,
E-GEOD-61170,AE,
E-GEOD-5751,AE,
E-NASC-67,AE,
E-ATMX-12,AE,
E-MEXP-359,AE,
E-MTAB-5884,AE,
E-MTAB-5845,AE,
E-MTAB-3262,AE,
